fund_name,stock_url,Stock_Invested_in,Sector,Value_Mn,pct_of_total_holdings,1m_change,1Y_Highest_Holding,1Y_Lowest_Holding,Quantity,1M_Change_in_Qty,Stock Invested in,1Y_Highest Holding,1Y_Lowest Holding,1m_change1
PGIM India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/cement-products-building-materials/rhimagnesitaindia/OR01,Orient Refractories Ltd.,Electrodes & refractories,438.9,2.48%,0.76%,2.48% (Aug 2023),0% (Sep 2022),6.09 L,0.00,,,,0.76
Tata Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/software/ceinfosystemsmapmyindia/CIS02,C.E. Info Systems Ltd.,Software products,1486.4,2.47%,0.23%,2.47% (Aug 2023),0.11% (Mar 2023),8.50 L,0.00,,,,0.23
Union Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/aerospace-defence/mtartechnologies/MT15,MTAR Technologies Ltd.,Aerospace & defense,263.2,2.46%,0.12%,2.49% (Nov 2022),1.79% (Sep 2022),1.07 L,0.00,,,,0.12
Quant Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/telecommunications-equipment/hfcl/HFC,HFCL Ltd.,Telecom - infrastructure,1977.1,2.45%,0.43%,4.5% (Oct 2022),1.89% (May 2023),2.59 Cr,45.00 L,,,,0.43
Sundaram Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/cholamandalamfinancialholdings/TII,Cholamandalam Financial Holdings Ltd.,Investment company,646.6,2.44%,0.31%,2.44% (Sep 2023),0.94% (Dec 2022),5.57 L,0.00,,,,0.31
Bandhan Emerging Businesses Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/powerfinancecorporation/PFC02,Power Finance Corporation Ltd.,Financial institution,524.3,2.43%,0.28%,2.43% (Sep 2023),0% (Oct 2022),20.81 L,4.16 L,,,,0.28
Bandhan Emerging Businesses Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/trading/shailyengineeringplastics/SEP02,Shaily Engineering Plastics Ltd.,Plastic products - industrial,523.4,2.42%,0.02%,3.58% (Oct 2022),2.01% (Jul 2023),2.91 L,6.69 k,,,,0.02
Invesco India Smallcap Fund - Direct - Growth,https://www.moneycontrol.com/india/stockpricequote/finance-others/360onewam/IIFLW54277,360 ONE WAM Ltd.,Other financial services,667.8,2.42%,0.45%,2.42% (Sep 2023),0.95% (Mar 2023),13.30 L,2.65 L,,,,0.45
Invesco India Smallcap Fund - Direct - Growth,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries-castingsforgings/cieautomotiveindia/MF19,CIE AUTOMOTIVE INDIA Ltd.,Auto components & equipments,667.3,2.42%,0.17%,2.42% (Sep 2023),0% (Oct 2022),13.88 L,2.52 L,,,,0.17
LIC MF Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/pumps/ksb/KSB,Ksb Pumps Ltd.,"Compressors, pumps & diesel engines",40.8,2.40%,0.16%,2.4% (Sep 2023),1.7% (Jan 2023),13.66 k,0.00,,,,0.16
Bandhan Emerging Businesses Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/trading/shailyengineeringplastics/SEP02,Shaily Engineering Plastics Ltd.,Plastic products - industrial,484.3,2.40%,0.39%,3.61% (Sep 2022),2.01% (Jul 2023),2.84 L,315.00,,,,0.39
ICICI Prudential Smallcap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/construction-contracting-civil/mahindralifespacedevelopers/MLD,Mahindra Lifespace Developers Ltd.,"Residential, commercial projects",1438.5,2.38%,0.06%,2.38% (Sep 2023),1.98% (Dec 2022),26.15 L,-2.33 L,,,,0.06
