fund_name,stock_url,Stock_Invested_in,Sector,Value_Mn,pct_of_total_holdings,1m_change,1Y_Highest_Holding,1Y_Lowest_Holding,Quantity,1M_Change_in_Qty,Stock Invested in,1Y_Highest Holding,1Y_Lowest Holding,1m_change1
Franklin India Smaller Companies Fund - Direct - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/chemicals/deepaknitrite/DN,,Specialty chemicals,3081.3,3.21%,0.15%,,,13.88 L,0.00,Deepak Nitrite Ltd.,4.4% (Oct 2022),3.07% (Jul 2023),0.15
Franklin India Smaller Companies Fund - Direct - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/personal-care/jyothylabs/JL,,Household products,2478.1,2.58%,0.06%,,,71.14 L,-2.50 L,Jyothy Laboratories Ltd.,2.78% (Jan 2023),2.29% (Jun 2023),0.06
Franklin India Smaller Companies Fund - Direct - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/it-services-consulting/kpittechnologies/KPITT54265,,Computers - software & consulting,2202.0,2.29%,0.07%,,,18.73 L,0.00,KPIT Technologies Ltd.,2.59% (Sep 2022),2.14% (Nov 2022),0.07
Franklin India Smaller Companies Fund - Direct - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/diamond-jewellery/kalyanjewellersindia/KJI01,,"Gems, jewellery and watches",2937.2,3.06%,0.44%,,,1.17 Cr,-0.20 Cr,Kalyan Jewellers India Ltd.,3.06% (Aug 2023),0.99% (Mar 2023),0.44
LIC MF Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/packaging/garwarehitechfilms/GP,Garware Polyester Ltd.,Plastic products - industrial,90.3,5.31%,1.12%,5.31% (Sep 2023),0% (Oct 2022),61.75 k,0.00,,,,1.12
Quant Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/indexfutures/nifty/9,Reliance Industries Ltd. : Futures Near,Refineries & marketing,4212.0,4.63%,0.64%,4.63% (Sep 2023),0% (Oct 2022),17.86 L,0.13 Cr,,,,0.64
DSP Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/computers-software/cyient/IE07,Cyient Ltd.,It enabled services,5592.4,4.62%,0.15%,4.86% (Apr 2023),2.87% (Oct 2022),33.01 L,0.00,,,,0.15
Axis Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/hospitals-medical-services/narayanahrudayalaya/NH,Narayana Hrudayalaya Ltd.,Hospital,7331.8,4.53%,0.10%,4.71% (Jun 2023),4.2% (Apr 2023),67.54 L,0,,,,0.1
DSP Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/cyient/IE07,Cyient Ltd.,It enabled services,5404.4,4.47%,0.31%,4.86% (Apr 2023),2.87% (Oct 2022),33.01 L,0.00,,,,0.31
ICICI Prudential Smallcap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/cyient/IE07,Cyient Ltd.,It enabled services,3063.2,4.38%,0.17%,4.6% (Jun 2023),2.73% (Oct 2022),18.71 L,0.00,,,,0.17
Tata Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/finance-housing/idfc/IDF,Infrastructure Development Finance Company Limited,Holding company,2577.0,4.20%,0.15%,4.51% (Oct 2022),3.92% (Jun 2023),2.00 Cr,0.00,,,,0.15
LIC MF Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/packaging/garwarehitechfilms/GP,Garware Polyester Ltd.,Plastic products - industrial,71.4,4.19%,4.19%,4.19% (Aug 2023),0% (Sep 2022),61.75 k,61.75 k,,,,4.19
HDFC Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/bankofbaroda/BOB,Bank Of Baroda,Public sector bank,9163.2,3.94%,0.39%,4.56% (Dec 2022),3.55% (Aug 2023),4.28 Cr,0.00,,,,0.39
Kotak Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/computers-software/cyient/IE07,Cyient Ltd.,It enabled services,4876.5,3.92%,0.14%,3.95% (Apr 2023),2.59% (Oct 2022),28.78 L,43.66 k,,,,0.14
Axis Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/cholamandalamfinancialholdings/TII,Cholamandalam Financial Holdings Ltd.,Investment company,6196.7,3.83%,0.51%,3.83% (Sep 2023),0.75% (Nov 2022),53.40 L,0,,,,0.51
ICICI Prudential Smallcap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/media-entertainment/pvrinox/PVR,PVR Ltd.,"Film production, distribution & exhibition",2654.6,3.80%,0.26%,3.94% (Mar 2023),0% (Sep 2022),14.82 L,1.50 k,,,,0.26
Quant Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-others/jiofinancialservices/JFS,Jio Financial Services Ltd.,Non banking financial company (nbfc),3063.5,3.79%,2.94%,3.79% (Aug 2023),0% (Sep 2022),1.31 Cr,1.09 Cr,,,,2.94
Kotak Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/cyient/IE07,Cyient Ltd.,It enabled services,4641.1,3.78%,0.29%,3.95% (Apr 2023),2.59% (Oct 2022),28.35 L,75.86 k,,,,0.29
HDFC Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software-medium-small/firstsourcesolutions/FS07,Firstsource Solutions Ltd.,It enabled services,8009.3,3.55%,0.20%,3.68% (May 2023),3.24% (Jun 2023),4.91 Cr,2.49 L,,,,0.2
Bank of India Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/hotel-resort-restaurants/lemontreehotels/LTH,Lemon Tree Hotels Ltd.,Hotels & resorts,242.3,3.54%,0.54%,3.54% (Sep 2023),1.26% (Jul 2023),21.30 L,3.70 L,,,,0.54
Axis Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software-medium-small/birlasoft/KPI02,Birlasoft Ltd.,Computers - software & consulting,5588.3,3.53%,0.41%,3.53% (Aug 2023),2.44% (Apr 2023),1.10 Cr,0,,,,0.41
HSBC Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/electric-equipment/aparindustries/AI40,Apar Industries Ltd.,Other electrical equipment,4072.9,3.50%,0.22%,3.57% (Apr 2023),1.96% (Nov 2022),7.44 L,-0.12 L,,,,0.22
Kotak Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/abrasives/carborundumuniversal/CU,Carborundum Universal Ltd.,Abrasives & bearings,4356.7,3.50%,0.10%,4.75% (Jan 2023),3.4% (Aug 2023),37.02 L,25.00 k,,,,0.1
Kotak Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/centuryplyboards/CP9,Century Plyboards India Ltd.,Plywood boards/ laminates,4118.5,3.35%,0.13%,4.22% (Sep 2022),3.05% (Mar 2023),60.13 L,3.41 L,,,,0.13
Bank of India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/software/rategaintraveltechnologies/RTT,Rategain Travel Technologies Ltd.,Computers - software & consulting,214.2,3.34%,0.58%,3.34% (Aug 2023),0.9% (Oct 2022),3.56 L,0.00,,,,0.58
Sundaram Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/cables-power-others/keiindustries/KEI,KEI Industries Ltd.,Cables - electricals,856.6,3.32%,0.09%,3.32% (Aug 2023),2.32% (Sep 2022),3.16 L,-0.11 L,,,,0.09
Quant Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/food-processing/bikajifoodsinternational/BFI01,Bikaji Foods International Ltd.,Packaged foods,2984.4,3.28%,0.29%,4.21% (Dec 2022),0% (Oct 2022),61.54 L,13.00 L,,,,0.29
HSBC Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/electric-equipment/aparindustries/AI40,Apar Industries Ltd.,Other electrical equipment,3786.5,3.28%,0.40%,3.57% (Apr 2023),1.79% (Sep 2022),7.56 L,-0.65 L,,,,0.4
Tata Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/engineering/quesscorp/QC,Quess Corp Ltd.,Business process outsourcing (bpo)/ knowledge process outsourcing (kpo),2007.1,3.27%,0.15%,3.54% (Jun 2023),1.4% (Jan 2023),48.00 L,4.00 L,,,,0.15
HSBC Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/textiles-readymade-apparels/kprmill/M15,K.P.R. Mill Ltd.,Other textile products,3773.8,3.27%,0.31%,4.27% (Sep 2022),2.96% (Jul 2023),49.82 L,0.00,,,,0.31
DSP Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/sugar/triveniengineeringindustries/TE10,Triveni Engineering & Industries Ltd.,Sugar,3792.2,3.13%,0.53%,3.5% (Nov 2022),2.57% (Jul 2023),99.87 L,0.00,,,,0.53
Tata Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/engineering/quesscorp/QC,Quess Corp Ltd.,Business process outsourcing (bpo)/ knowledge process outsourcing (kpo),1878.4,3.12%,0.01%,3.54% (Jun 2023),1.4% (Jan 2023),44.00 L,2.73 L,,,,0.01
Sundaram Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/pumps/ksb/KSB,Ksb Pumps Ltd.,"Compressors, pumps & diesel engines",801.7,3.11%,0.02%,3.77% (Mar 2023),3.09% (Jul 2023),2.87 L,-0.48 L,,,,0.02
ICICI Prudential Smallcap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/metals-castingsforgings/rolexrings/RR11,Rolex Rings Private Ltd.,Auto components & equipments,1881.1,3.11%,0.38%,4.01% (Oct 2022),2.73% (Aug 2023),8.54 L,-0.20 L,,,,0.38
Union Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jbchemicalspharmaceuticals/JBC01,JB Chemicals & Pharmaceuticals Ltd.,Pharmaceuticals,343.7,3.11%,3.11%,3.11% (Sep 2023),0% (Oct 2022),2.32 L,2.32 L,,,,3.11
ICICI Prudential Smallcap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/cables-power-others/keiindustries/KEI,KEI Industries Ltd.,Cables - electricals,1875.6,3.10%,0.25%,3.29% (Oct 2022),2.37% (Jul 2023),7.07 L,-0.28 L,,,,0.25
Edelweiss Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jbchemicalspharmaceuticals/JBC01,JB Chemicals & Pharmaceuticals Ltd.,Pharmaceuticals,753.2,3.07%,3.07%,3.07% (Sep 2023),0% (Oct 2022),5.08 L,5.08 L,,,,3.07
Edelweiss Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/cables-power-others/keiindustries/KEI,KEI Industries Ltd.,Cables - electricals,724.4,3.07%,0.20%,3.07% (Aug 2023),2.58% (Dec 2022),2.68 L,13.83 k,,,,0.2
Sundaram Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals-drugs/suvenpharmaceuticals/SP19,Suven Pharmaceuticals Ltd.,Pharmaceuticals,812.4,3.06%,0.14%,3.06% (Sep 2023),1.05% (Oct 2022),14.47 L,-0.25 L,,,,0.14
ICICI Prudential Smallcap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/hospital-healthcare-services/krishnainstitutemedicalsciences/KIo01,Krishna Institute of Medical Sciences Ltd.,Hospital,1846.1,3.05%,0.16%,3.55% (Apr 2023),2.88% (Aug 2023),9.34 L,-0.75 L,,,,0.16
Union Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/ceramics-granite/cerasanitaryware/CS18,Cera Sanitaryware Ltd.,Sanitary ware,324.7,3.03%,0.38%,3.21% (May 2023),2.51% (Sep 2022),34.15 k,0.00,,,,0.38
Invesco India Smallcap Fund - Direct - Growth,https://www.moneycontrol.com/india/stockpricequote/bank-private/equitassmallfinancebank/ESF,Equitas Small Finance Bank Ltd.,Other bank,837.0,3.03%,0.23%,3.03% (Sep 2023),0% (Oct 2022),93.36 L,11.67 L,,,,0.23
Bank of India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/hotel-resort-restaurants/lemontreehotels/LTH,Lemon Tree Hotels Ltd.,Hotels & resorts,192.3,3.00%,1.74%,3% (Aug 2023),1.26% (Jul 2023),17.60 L,9.50 L,,,,1.74
Union Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/indexfutures/nifty/9,J.b. Chemicals & Pharmaceuticals Ltd.,Pharmaceuticals,321.0,3.00%,0.02%,3.15% (Apr 2023),2.86% (Sep 2022),1.16 L,0.00,,,,0.02
Bank of India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-nbfc/creditaccessgrameen/CG03,CreditAccess Grameen Ltd.,Microfinance institutions,192.1,2.99%,0.05%,2.99% (Aug 2023),1.31% (Jan 2023),1.36 L,15.70 k,,,,0.05
Edelweiss Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/indexfutures/nifty/9,J.b. Chemicals & Pharmaceuticals Ltd.,Pharmaceuticals,703.5,2.98%,0.20%,3.43% (Sep 2022),2.78% (Jul 2023),2.54 L,15.96 k,,,,0.2
Bank of India Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/pumps/ksb/KSB,Ksb Pumps Ltd.,"Compressors, pumps & diesel engines",201.8,2.95%,0.45%,2.95% (Sep 2023),1.18% (Jan 2023),67.50 k,10.00 k,,,,0.45
SBI Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-others/sbfcfinance/SF33,SBFC Finance Ltd.,Microfinance institutions,6160.0,2.95%,2.95%,2.95% (Aug 2023),0% (Sep 2022),7.00 Cr,7.00 Cr,,,,2.95
Mahindra Manulife Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/refineries/relianceindustries/RI,Reliance Industries Ltd.,Refineries & marketing,633.2,2.94%,2.94%,2.94% (Sep 2023),0% (Oct 2022),2.70 L,2.70 L,,,,2.94
Bank of India Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/breweries-distilleries/radicokhaitan/RK01,Radico Khaitan Ltd.,Breweries & distilleries,198.6,2.90%,0.53%,2.9% (Sep 2023),0% (Oct 2022),1.65 L,44.50 k,,,,0.53
Axis Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/plantations-tea-coffee/cclproductsindia/CC10,CCL Products (India) Ltd.,Tea & coffee,4671.4,2.89%,0.12%,3.55% (Apr 2023),2.77% (Aug 2023),72.35 L,0,,,,0.12
Bank of India Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/cholamandalamfinancialholdings/TII,Cholamandalam Financial Holdings Ltd.,Investment company,197.1,2.88%,0.89%,2.88% (Sep 2023),0.83% (Mar 2023),1.70 L,39.80 k,,,,0.89
Bank of India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/cables-power-others/keiindustries/KEI,KEI Industries Ltd.,Cables - electricals,184.1,2.87%,0.48%,2.87% (Aug 2023),1.74% (Nov 2022),68.00 k,9.40 k,,,,0.48
Kotak Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/consumer-goods-white-goods/bluestar/BS,Blue Star Ltd.,Household appliances,3554.8,2.86%,0.47%,3.17% (Feb 2023),2.39% (Aug 2023),40.62 L,1.00 L,,,,0.47
Quant Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/textiles-denim/arvind/A18,Arvind Ltd.,Garments & apparels,2299.5,2.85%,0.19%,2.85% (Aug 2023),1.41% (Feb 2023),1.31 Cr,0.00,,,,0.19
PGIM India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/bank-private/equitassmallfinancebank/ESF,Equitas Small Finance Bank Ltd.,Other bank,503.0,2.85%,0.14%,2.85% (Aug 2023),0% (Sep 2022),55.58 L,-9.94 L,,,,0.14
ICICI Prudential Smallcap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/cables-power-others/keiindustries/KEI,KEI Industries Ltd.,Cables - electricals,1989.6,2.85%,0.48%,3.29% (Oct 2022),2.37% (Jul 2023),7.35 L,1.00 L,,,,0.48
PGIM India Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/csbbank/CB05,CSB Bank Ltd.,Private sector bank,484.9,2.84%,0.14%,2.84% (Sep 2023),0% (Oct 2022),14.42 L,0.00,,,,0.14
Canara Robeco Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/cables-power-others/keiindustries/KEI,KEI Industries Ltd.,Cables - electricals,2149.1,2.84%,0.14%,2.88% (Apr 2023),1.52% (Sep 2022),7.94 L,0.00,,,,0.14
LIC MF Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/engines/kirloskaroilengines/KOE03,Kirloskar Oil Engines Ltd.,"Compressors, pumps & diesel engines",48.1,2.83%,0.30%,2.83% (Sep 2023),1.49% (Oct 2022),89.05 k,0.00,,,,0.3
Bank of India Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/engineering-heavy/prajindustries/PI17,Praj Industries Ltd.,Industrial products,193.6,2.83%,0.30%,2.83% (Sep 2023),1.25% (Dec 2022),3.30 L,0.00,,,,0.3
HDFC Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/finance-housing/idfc/IDF,Infrastructure Development Finance Company Limited,Holding company,6580.6,2.83%,0.05%,2.96% (Jan 2023),2.62% (Feb 2023),5.11 Cr,-5.00 L,,,,0.05
Bank of India Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kaynestechnologyindia/KTI,Kaynes Technology India Private Ltd.,Industrial products,193.2,2.82%,0.18%,2.82% (Sep 2023),0% (Oct 2022),84.00 k,0.00,,,,0.18
Union Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/electronicsmartindia/EMI,Electronics Mart lndia Ltd.,Speciality retail,300.3,2.80%,0.35%,2.8% (Aug 2023),0% (Sep 2022),21.22 L,0.00,,,,0.35
PGIM India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/hospital-healthcare-services/rainbowchildrensmedicare/RCM03,Rainbow Childrens Medicare Ltd.,Hospital,490.1,2.77%,0.48%,2.77% (Aug 2023),0% (Sep 2022),4.63 L,-0.13 L,,,,0.48
Edelweiss Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software-medium-small/birlasoft/KPI02,Birlasoft Ltd.,Computers - software & consulting,652.8,2.77%,0.22%,2.77% (Aug 2023),1.09% (Oct 2022),12.81 L,0.00,,,,0.22
Canara Robeco Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/ceramics-granite/cerasanitaryware/CS18,Cera Sanitaryware Ltd.,Sanitary ware,2087.6,2.76%,0.43%,2.76% (Feb 2023),2.29% (Jan 2023),2.20 L,0.00,,,,0.43
Tata Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/software/ceinfosystemsmapmyindia/CIS02,C.E. Info Systems Ltd.,Software products,1695.4,2.76%,0.29%,2.76% (Sep 2023),0.11% (Mar 2023),8.50 L,0.00,,,,0.29
Axis Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/consumer-goods-white-goods/bluestar/BS,Blue Star Ltd.,Household appliances,4461.4,2.76%,0.38%,3.19% (Feb 2023),2.38% (Aug 2023),50.98 L,0,,,,0.38
Mahindra Manulife Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/personal-care/godrejindustries/GI23,Godrej Industries Ltd,Animal feed,422.5,2.74%,1.20%,2.74% (Aug 2023),0% (Sep 2022),7.86 L,4.37 L,,,,1.2
PGIM India Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jbchemicalspharmaceuticals/JBC01,JB Chemicals & Pharmaceuticals Ltd.,Pharmaceuticals,466.2,2.73%,2.73%,2.73% (Sep 2023),0% (Oct 2022),3.15 L,3.15 L,,,,2.73
LIC MF Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/hotel-resort-restaurants/lemontreehotels/LTH,Lemon Tree Hotels Ltd.,Hotels & resorts,46.3,2.72%,0.11%,2.72% (Sep 2023),1.34% (Jun 2023),4.07 L,0.00,,,,0.11
ITI Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/steel-medium-small/jindalstainless/JSL01,Jindal Stainless Ltd.,Iron & steel products,393.6,2.71%,0.20%,3.03% (Mar 2023),0.76% (Sep 2022),8.66 L,0.00,,,,0.2
PGIM India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/csbbank/CB05,CSB Bank Ltd.,Private sector bank,476.3,2.70%,0.82%,2.7% (Aug 2023),0% (Sep 2022),14.42 L,0.00,,,,0.82
Sundaram Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/multicommodityexchangeindia/MCE,Multi Commodity Exchange Of India Ltd.,Exchange and data platform,714.1,2.69%,0.80%,2.69% (Sep 2023),1.66% (May 2023),3.48 L,58.37 k,,,,0.8
ICICI Prudential Smallcap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/packaging/epl/EP11,EPL Ltd.,Packaging,1629.6,2.69%,0.10%,3.32% (Apr 2023),0.98% (Oct 2022),87.28 L,-4.91 L,,,,0.1
Aditya Birla Sun Life Small cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/cholamandalamfinancialholdings/TII,Cholamandalam Financial Holdings Ltd.,Investment company,1244.9,2.69%,0.35%,2.69% (Sep 2023),1.98% (Dec 2022),10.73 L,0.00,,,,0.35
PGIM India Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/cement-products-building-materials/rhimagnesitaindia/OR01,Orient Refractories Ltd.,Electrodes & refractories,454.3,2.66%,0.18%,2.66% (Sep 2023),0% (Oct 2022),6.09 L,0.00,,,,0.18
